subject_id,trial_id,task,task_label,obj_dwell_prop,scene_dwell_prop,obj_fix_count,scene_fix_count,obj_dwell_early_ms,obj_dwell_middle_ms,obj_dwell_late_ms,scene_dwell_early_ms,scene_dwell_middle_ms,scene_dwell_late_ms,mean_fix_duration_ms,first_fix_latency_obj_ms,obj_scene_transitions,transition_entropy,obj_revisits,scene_revisits,scanpath_length_deg,fixation_dispersion,saccade_amplitude_mean_deg
1,180,ITEM,1,0.9526148511990754,0.047385148800924586,8,1,1005.0,1871.0,421.0,164.0,0.0,0.0,384.55555555555554,41.0,2.0,1.0,1,0,11.055104777729337,322.6379569269556,1.3861236929239884
1,181,ITEM,1,0.8227848101265823,0.17721518987341772,7,2,794.0,614.0,1257.0,0.0,574.0,0.0,359.8888888888889,50.0,2.0,1.0,1,0,61.82042953336622,1990.725089320472,8.560214208006656
1,182,ITEM,1,0.5394147113103085,0.46058528868969156,5,4,1846.0,0.0,200.0,0.0,1428.0,319.0,421.44444444444446,33.0,3.0,0.9182958340544896,1,1,22.79494987878801,1113.3082329607114,2.886946050140805
1,183,ITEM,1,0.909440738840431,0.09055926115956901,6,1,1422.0,1874.0,249.0,0.0,0.0,353.0,556.8571428571429,42.0,2.0,1.0,1,0,10.986293943889967,351.72490828929233,1.8365226068389433
1,184,ITEM,1,1.0,0.0,3,0,3999.0,0.0,0.0,0.0,0.0,0.0,1333.0,31.0,0.0,,0,0,1.524303620644428,129.49656366097108,0.7621855265059766
1,186,ITEM,1,0.9913818722139673,0.00861812778603269,13,1,1007.0,1207.0,1122.0,29.0,0.0,0.0,240.35714285714286,51.0,2.0,1.0,1,0,25.93070131948354,522.5131663356271,2.02921585117055
1,187,ITEM,1,1.0,0.0,9,0,1822.0,1030.0,1020.0,0.0,0.0,0.0,430.22222222222223,42.0,0.0,,0,0,8.537232266711854,241.40076112646204,1.069101804864896
1,188,ITEM,1,0.980096673301109,0.0199033266988911,11,1,981.0,1703.0,763.0,0.0,0.0,70.0,293.0833333333333,48.0,1.0,0.0,0,0,19.662586289794845,621.8948982447195,1.8051105711255833
1,189,ITEM,1,0.5306908890723919,0.469309110927608,6,6,1096.0,0.0,832.0,25.0,1535.0,145.0,302.75,41.0,5.0,0.9709505944546686,2,2,55.078965466917296,1610.253882350544,5.4280266252512135
1,190,ITEM,1,1.0,0.0,10,0,1245.0,1302.0,691.0,0.0,0.0,0.0,323.8,34.0,0.0,,0,0,8.578620995011095,361.1700063600498,0.9549426750230162
1,191,ITEM,1,1.0,0.0,7,0,1177.0,1562.0,558.0,0.0,0.0,0.0,471.0,52.0,0.0,,0,0,8.842230859911375,228.2304804845799,1.4765552800569555
1,192,ITEM,1,1.0,0.0,9,0,1157.0,1447.0,1029.0,0.0,0.0,0.0,403.6666666666667,37.0,0.0,,0,0,13.827093434715074,195.71628496371986,1.7366911869682164
1,193,ITEM,1,0.9624352331606217,0.03756476683937824,7,1,1076.0,1353.0,1286.0,145.0,0.0,0.0,482.5,219.0,1.0,0.0,0,0,14.7903393882961,321.11637385153006,2.124473926298346
1,194,ITEM,1,1.0,0.0,6,0,1400.0,2062.0,492.0,0.0,0.0,0.0,659.0,35.0,0.0,,0,0,4.107578720583293,131.53340091229896,0.8218536861939861
